Año;Descripción del Peligro (Falla/Error) que afecta la Seguridad de Aeronave o Componente de Aeronave;Consecuencias Potenciales;"Nivel de Riesgo
(1 - 5)";Categoría del Peligro;Acrónimo Categoría;Código del Peligro;"Peligros
Ene";"HHT
Ene";"Peligros
Feb";"HHT
Feb";"Peligros
Mar";"HHT
Mar";"Peligros
Abr";"HHT
Abr";"Peligros
May";"HHT
May";"Peligros
Jun";"HHT
Jun";"Peligros
Jul";"HHT
Jul";"Peligros
Ago";"HHT
Ago";Peligros Sep;"HHT
Sep";"Peligros
Oct";"HHT
Oct";"Peligros
Nov";"HHT
Nov";"Peligros
Dic";"HHT
Dic";
2013;Instalación de un elemento no aprobado para uso aeronáutico (sin trazabilidad).;Posible compromiso de seguridad y confiabilidad de la aeronave o componente.;5;Equipos, Componentes y Materiales;ECM;P1.1;2;50123;4;51258;1;50321;3;50347;2;50237;0;50347;5;50419;1;50372;2;50623;3;50349;3;50793;4;50371;
2013;Instalación de un elemento sujeto a vida límite en servicio, sin contar con la información de tiempo de vida remanente.;Riesgo de operar elementos fuera de su vida útil designada, lo que puede llevar a fallas críticas.;5;Equipos, Componentes y Materiales;ECM;P1.2;4;53897;2;50456;1;51678;5;51682;2;50689;0;51682;3;51567;4;51198;1;53874;2;51267;5;52937;0;51198;
2013;Certificar la aeronavegabilidad de un accesorio, con un tiempo de vida superior al tiempo real de vida disponible (horas/ciclos).;Puede llevar a un mayor desgaste de los componentes y aumentar el riesgo de fallas.;4;Equipos, Componentes y Materiales;ECM;P1.3;3;50321;0;53123;1;52987;2;52991;5;50974;4;52991;1;52784;3;52345;2;52019;0;52654;1;54328;6;52547;
2013;Utilización de un producto químico, con su fecha de expiración vencida o desconocida.;Riesgo de reacciones químicas impredecibles que podrían afectar la seguridad de la aeronave.;4;Equipos, Componentes y Materiales;ECM;P1.4;1;54678;2;50234;4;53654;0;53659;3;51246;1;53659;5;53602;2;53214;1;54903;4;53821;0;51569;5;53820;
2013;Incumplimiento de los requisitos especiales de almacenamiento establecidos por el fabricante de los equipos, instrumentos o accesorios o por la AAC;Potencial deterioro de componentes o equipos que pueden resultar en fallos o reducción de vida útil.;3;Equipos, Componentes y Materiales;ECM;P1.5;0;52456;5;54890;3;54123;1;54127;2;51530;1;54127;0;54097;4;54567;5;53297;3;54189;2;53147;1;54327;
2013;Utilización de un equipo de prueba no certificado (inoperativo o no comprobado).;Puede llevar a mediciones inexactas, lo que puede resultar en fallas no detectadas.;4;Equipos y Herramientas Calibradas;EHC;P2.1;1;50876;0;50678;1;54789;2;54792;3;51917;4;54792;5;54928;1;54901;0;55123;3;54876;2;54982;4;54892;
2013;Utilización de una herramienta no calibrada o con su periodo de calibración vencido.;Riesgo de medidas incorrectas o daño a componentes debido a herramientas no precisas.;4;Equipos y Herramientas Calibradas;EHC;P2.2;3;54123;1;53210;5;55000;2;55012;0;52251;2;55012;4;55041;1;55042;5;51457;3;55000;0;55100;2;55010;
2013;Utilización de una herramienta que se ha caído o ha sido golpeada;Puede resultar en herramientas dañadas o deformadas, lo que podría afectar la precisión y seguridad.;3;Equipos y Herramientas Calibradas;EHC;P2.3;2;52987;1;51456;0;52456;4;52462;1;52693;3;52462;5;52173;2;52083;4;50392;0;52345;2;52456;1;52348;
2013;Utilización de una herramienta inapropiada o no aprobada por el fabricante del equipo. Instrumento o accesorio.;Riesgo de daño a componentes debido al uso de herramientas incorrectas.;3;Equipos y Herramientas Calibradas;EHC;P2.4;1;53210;3;54987;2;53098;5;53099;4;53078;4;53099;0;53195;1;53279;3;52541;2;53123;5;53719;0;53124;
2013;Imposibilidad para disponer de información técnica, por problemas de acceso (falla del computador, lectores ópticos, etc.).;Puede llevar a la realización incorrecta de tareas de mantenimiento o inspección.;3;Manuales y Procedimientos Técnicos ;MPT;P3.1;4;50345;0;52109;1;51234;2;51241;3;53462;5;51241;2;51347;4;51423;1;54761;0;50456;2;51285;3;50460;
2013;Utilización de información técnica no aplicables a la marca y modelo del equipo, instrumento o accesorio.;Puede resultar en un trabajo incorrecto o inadecuado para la aeronave específica.;4;Manuales y Procedimientos Técnicos ;MPT;P3.2;5;51789;2;55000;3;53210;1;53215;0;53851;6;53215;4;53408;5;53761;2;53108;3;53210;1;55009;0;53215;
2013;Ejecución de un trabajo sin consultar la información técnica aplicable.;Puede llevar a la realización de tareas incorrectas o incompletas.;3;Manuales y Procedimientos Técnicos ;MPT;P3.3;1;54321;0;50321;1;54678;2;54683;3;54204;4;54683;0;54620;4;54432;1;54276;5;54567;4;53647;2;54680;
2013;Utilización de información técnica modificada por la empresa, sin que esta cuente con la aprobación de la AAC y del fabricante.;Riesgo de aplicar información incorrecta y aumentar el riesgo.;4;Manuales y Procedimientos Técnicos ;MPT;P3.4;4;52543;2;53876;4;53987;3;53992;5;54590;1;53992;0;53853;4;53890;2;51937;3;53987;0;54825;1;53990;
2013;Error al determinar el verdadero estado de actualización de la información técnica;Riesgo de utilizar información desactualizada y cometer errores en las tareas de mantenimiento.;3;Manuales y Procedimientos Técnicos ;MPT;P3.5;1;53654;5;54567;2;50345;0;50348;3;54936;3;54879;4;54419;1;54327;2;52984;5;50345;3;50391;0;50352;
2013;Utilización de información técnica ilegible (sucia, incompleta) que impida su correcta interpretación.;Puede resultar en la interpretación incorrecta y realizar tareas de manera inapropiada.;3;Manuales y Procedimientos Técnicos ;MPT;P3.6;3;51234;0;51789;4;54876;1;54879;1;50322;2;51125;2;50962;0;50761;3;54628;4;54921;1;54632;2;54915;
2013;Utilización en una tarea de mantenimiento de información técnica desactualizada;Puede llevar a la aplicación de prácticas obsoletas o inseguras.;3;Manuales y Procedimientos Técnicos ;MPT;P3.7;0;55000;1;53234;5;51123;3;51125;2;50746;4;52111;4;52036;0;52897;1;51146;5;51432;4;52167;3;51463;
2013;Ejecución de un trabajo sin aplicar los formatos de inspección / mantenimiento, cuando así se requiera.;Riesgo de realizar inspecciones o mantenimiento inadecuados o incompletos.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.1;2;50678;2;54321;1;52109;3;52111;0;51089;5;54325;4;55102;2;55111;1;53382;1;52109;4;53349;0;52107;
2013;Incompleta instalación de componentes y/o elementos;Puede llevar a la operación insegura de la aeronave o componente.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.2;4;54876;0;52987;2;54321;1;54325;3;51427;1;53329;5;53388;4;53452;0;55007;2;54678;3;52012;1;54571;
2013;Incorrecta instalación de componentes y/o elementos;Riesgo de fallas críticas o daños debido a la instalación incorrecta.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.3;1;52109;3;50345;0;53321;1;53329;5;51873;2;52547;4;50369;2;50328;3;52312;1;53567;0;50326;2;53409;
2013;Instalación cruzada de partes;Puede resultar en fallas o daños significativos debido a la incompatibilidad de las partes.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.4;5;53456;2;54123;4;52543;1;52547;0;52318;3;51376;5;54814;2;54765;4;50719;2;50874;1;51479;0;50784;
2013;Utilizar un formato de inspección no aplicable a la marca y modelo del equipo, instrumento o accesorio.;Puede llevar a la aplicación de estándares incorrectos y resultados de inspección incorrectos.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.5;5;50473;0;52543;2;50235;4;52976;1;54327;3;49017;6;48452;2;49617;4;50321;0;50897;5;54897;1;54832;
2013;Lubricación inadecuada de partes o componentes;Riesgo de desgaste excesivo o daño a partes debido a la falta de lubricación adecuada.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.6;2;51157;3;53219;1;51287;1;53821;4;50198;0;49436;5;49278;3;50132;2;50214;6;51432;1;50345;4;50396;
2013;No registra en el formato de inspección apropiado, el hallazgo de una observación o discrepancia.;Puede llevar a la falta de documentación de observaciones o discrepancias, lo que dificulta el seguimiento y la toma de decisiones.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.7;0;52684;4;51456;3;52019;2;50344;5;52571;1;50029;2;49736;0;51789;4;51245;1;54876;3;52469;2;52214;
2013;No informa situación o estado de avance de un trabajo en ejecución, durante un cambio de turno o interrupción prolongada.;Puede resultar en la falta de comunicación crucial entre los equipos de trabajo y la falta de continuidad en las tareas.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.8;1;53896;2;53897;0;53744;5;54909;2;54836;4;50294;3;50214;1;50344;0;54789;6;52761;5;53012;4;53189;
2013;Utilización de un formato de inspección con errores en su traducción al español.;Puede llevar a la interpretación incorrecta y aplicación de estándares incorrectos en el proceso de inspección.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.9;3;54379;1;52100;4;54361;0;51678;6;50201;2;50987;5;51009;3;49051;4;49362;1;49523;0;55678;2;54675;
2013;Falla al medir la tolerancia en calibraciones durante el proceso de prueba de un equipo, instrumento o accesorios.;Puede resultar en mediciones inexactas y calibraciones incorrectas.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.10;2;54824;2;54678;1;54978;4;53492;3;53012;0;51456;5;52067;5;53028;2;51098;1;53712;4;53694;5;50245;
2013;Aplicación de un valor de prueba mayor o menor, por error al calcular tablas de calibración.;Riesgo de aplicar valores incorrectos y calibraciones incorrectas.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.11;4;55021;5;51432;3;55012;2;54817;0;54987;1;52203;4;53122;3;52147;6;53764;2;52498;5;51427;1;55731;
2013;Utilizar un formato de inspección desactualizado.;Puede resultar en la aplicación de estándares obsoletos o inadecuados en el proceso de inspección.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.12;2;52398;1;55000;0;52456;6;53706;3;53624;5;52678;4;53948;2;53562;4;54023;1;51273;0;55231;3;51427;
2013;Ejecución de una tarea sin registrar en el formato de inspección / trabajo la finalización de esta.;Falta de documentación adecuada de las tareas completadas, lo que puede dificultar el seguimiento y la verificación.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.13;0;53102;3;53201;2;53289;1;51245;5;50389;6;53123;0;54571;4;50456;3;52147;2;53105;1;52109;5;52076;
2013;Daños o abolladuras en la superficie de la aeronave o componente causados durante el servicio;Riesgo de daños estructurales o problemas aerodinámicos.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.14;5;50486;4;50345;6;51347;0;54432;1;51856;2;53645;5;50391;3;54439;4;54987;2;55049;1;49456;0;49263;
2013;Daños causados por elementos extraños a las aeronaves FOD;Riesgo de daños a la aeronave debido a la presencia de objetos extraños en áreas críticas.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.15;1;53217;6;54123;0;53562;5;52009;2;54345;4;54017;3;52357;1;52283;0;51876;2;49257;4;55123;2;53871;
2013;Vencimiento de límite de vida útil de componentes;Riesgo de operar componentes fuera de su vida útil designada, lo que puede llevar a fallas críticas.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.16;3;54635;2;55032;4;54673;1;53084;0;54723;2;54492;5;54824;3;52847;2;50459;4;50489;5;50874;1;54903;
2013;Aplicación incorrecta de torque;Puede llevar a componentes sueltos o dañados debido a la aplicación incorrecta de fuerza.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.17;2;53971;4;51267;0;53991;1;55100;3;53219;5;54837;2;51163;0;51294;6;53612;1;55234;4;52567;3;53018;
2013;Daño causado por la corrosión de superficies metálicas debido a la exposición a la intemperie;Riesgo de debilitamiento estructural debido a la corrosión, lo que podría afectar la seguridad.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.18;5;50349;1;50293;0;50876;2;50457;6;50465;4;50129;3;53408;1;54612;5;52295;2;52267;0;54789;4;51849;
2013;Mediciones incorrectas;Puede llevar a decisiones incorrectas y posibles fallas o daños no detectados.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.19;2;54926;3;54788;5;54521;1;54922;0;52204;2;51176;4;52536;2;54938;3;53378;1;48954;5;53812;2;55029;
2013;Falta de continuidad de las tareas de mantenimiento;Puede resultar en la falta de seguimiento y documentación adecuada de las tareas, lo que dificulta la toma de decisiones informadas.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.20;0;51469;2;51642;4;51192;2;52564;1;53879;3;51784;0;54979;4;50923;2;54821;5;54678;0;50234;4;50412;
2013;Inspección especial (NDT, otros) no detecta una discrepancia o daño en el componente;Riesgo de no detectar problemas críticos en componentes durante inspecciones especiales.;4;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.21;3;52128;6;52675;2;52542;4;54381;1;51137;0;52412;5;48632;3;51872;2;49014;4;53416;1;51562;5;52787;
2013;Identificación incorrecta de partes;Puede llevar a la aplicación incorrecta de componentes o el uso de piezas inadecuadas.;3;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.22;1;54563;0;53319;3;54783;5;51133;2;54461;2;53087;1;51847;0;53196;4;52567;3;50342;1;49089;0;51234;
2013;Omisión de inspecciones regulares en componentes críticos, como tren de aterrizaje, motores o sistemas de control ;Puede resultar en falta de detección temprana de problemas críticos en componentes clave.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.23;5;53421;4;49561;0;50324;2;54617;2;51994;1;53922;3;49491;5;53758;4;53098;0;52076;2;53147;1;55678;
2013;Componentes estructurales mal asegurados debido a pernos o remaches sueltos;Riesgo de desprendimiento de componentes estructurales, lo que puede llevar a fallas críticas.;5;Procedimientos de Mantenimiento, Reparación e Inspección;PMRI;P4.24;1;50795;3;51984;5;51789;0;51749;6;50112;4;54965;2;52750;3;52513;1;51674;0;55788;2;54321;4;52367;
2013;Asignar una tarea a una persona sin que esta tenga la competencia requerida (conocimiento y experiencia).;Riesgo de ejecución incorrecta de tareas debido a la falta de conocimiento o experiencia.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.1;4;55321;4;55127;3;51123;5;54678;0;50345;2;55219;1;54987;5;52876;3;53406;4;54654;2;55789;0;49056;
